user_id,rosenberg_score
so_ma_2003_07_01_151_f,22
ma_va_1996_01_14_353_f,27
er_va_2001_06_12_922_f,22
so_or_2003_08_07_377_f,21
va_sa_1975_10_18_393_f,22
ra_ma_2003_05_13_027_f,29
el_mo_2003_11_11_810_f,19
al_ri_2003_06_20_013_f,21
li_zo_2004_02_14_210_f,19
ir_ro_2005_04_25_307_f,38
ma_op_2002_10_17_619_f,23
sa_ta_2003_04_29_926_f,11
ch_ru_2003_03_13_301_f,28
vi_me_2003_12_23_966_m,12
ed_ul_2003_04_16_576_m,22
ma_ni_2000_10_17_970_m,19
ma_ne_2003_02_14_288_f,23
st_ma_2003_07_22_583_m,34
fr_pu_2003_05_28_252_f,22
be_ma_2003_08_08_206_f,20
mi_st_2003_06_26_432_f,31
va_na_2002_06_15_180_f,25
so_ma_2002_07_10_675_f,23
ma_lo_2003_03_20_086_f,25
ma_sa_2003_10_09_409_f,25
al_ru_2003_08_03_401_f,23
ev_no_2003_09_18_822_f,17
so_pa_2003_01_26_225_f,12
ev_pa_2003_01_04_708_f,30
vi_ve_2002_11_20_937_f,17
an_pa_1999_05_11_680_f,30
ma_ri_2002_11_24_797_f,24
an_ni_2002_12_04_834_m,17
lu_pa_2000_01_28_272_m,31
vi_le_2003_11_10_511_f,24
na_on_2003_10_01_490_f,26
cl_ma_2003_05_22_860_f,21
fr_va_2003_11_17_977_f,18
el_ma_2003_10_04_505_f,12
fr_ma_2002_07_14_125_f,19
le_ro_2003_09_22_235_f,23
al_za_2002_06_19_653_f,26
gr_ma_2003_02_19_619_f,24
vp_pi_2002_06_03_764_f,19
an_ma_2002_09_20_437_f,28
ma_ma_2003_10_13_417_f,26
ar_la_2004_02_18_282_f,26
re_pa_2003_05_13_487_f,11
so_mi_2003_03_19_419_f,23
ev_pa_2003_01_04_708_f,30
ge_to_2002_01_31_746_f,26
ar_tr_2002_08_13_504_f,25
gi_me_2003_09_16_884_m,21
mi_si_2003_10_15_839_m,22
au_vi_2004_01_17_529_f,21
ma_pa_2003_12_24_373_f,31
cl_pe_2000_02_17_166_f,28
la_sa_2002_08_31_342_m,31
bi_ro_2003_09_07_934_f,32
ma_ma_2003_09_19_720_f,26
be_ma_2003_07_08_043_f,12
ga_pi_2002_03_08_624_f,22
gi_ma_2003_03_20_938_f,33
ir_to_2003_10_31_441_f,24
as_sp_2002_07_24_676_f,28
ar_ro_2002_06_16_263_f,26
sa_ne_2003_06_12_362_f,12
an_so_2003_09_08_620_f,26
ma_qu_2003_09_15_711_m,21
gi_lo_2003_10_04_373_f,22
ja_tr_2002_10_06_487_m,22
ma_mo_2002_04_17_200_f,28
ed_ul_2003_04_16_576_m,22
fl_me_2004_02_17_358_f,21
fr_pa_2003_05_03_673_f,28
si_te_2003_06_04_835_f,22
ch_va_2003_04_08_010_f,24
el_pa_2003_08_08_486_f,12
au_vi_2004_01_17_529_f,21
ni_sa_2002_02_28_835_f,23
al_ma_2003_06_07_859_f,16
ir_ro_2003_08_06_734_f,29
gi_pa_2003_07_12_966_f,30
lo_ro_2002_12_11_085_m,24
sa_ne_2003_06_12_362_f,12
fr_ra_2001_05_26_203_f,30
ga_pa_2001_06_19_385_f,25
gi_lo_2003_06_26_196_f,23
mi_la_1983_12_30_637_m,14
ma_se_2003_07_16_188_f,36
la_sa_2003_09_28_299_f,28
an_to_2003_08_06_116_f,27
bi_ma_2003_03_10_962_f,20
gi_vo_2002_05_12_841_f,22
el_pr_2002_07_12_840_f,15
ga_lo_2003_03_23_920_f,21
al_va_2003_10_02_452_f,33
sa_pe_2003_01_04_879_f,28
ga_to_2003_10_05_427_m,14
th_le_2003_09_04_520_m,26
el_sa_2003_01_19_255_f,18
an_mi_2002_02_27_536_f,23
gi_sp_2003_10_20_716_m,10
an_mi_2003_08_21_800_f,24
sa_pe_2002_12_08_963_f,30
sa_ma_2002_02_20_773_f,20
ca_po_2001_09_17_258_f,26
gi_ta_2003_04_29_894_m,21
ma_se_2003_06_24_287_f,17
ma_pr_2003_07_27_907_m,24
ma_ma_2003_09_19_720_f,26
je_ro_1977_11_26_081_f,17
gi_mi_2002_11_14_530_m,26
ma_no_2003_08_08_723_f,20
ch_va_2003_07_15_511_f,18
sa_pe_2003_07_25_475_f,16
ma_mo_2003_07_08_156_f,18
so_la_2002_10_16_896_f,20
fr_te_2003_10_01_798_f,32
al_se_2003_07_28_277_f,25
lo_on_2003_10_24_183_m,10
